elapsed_dec,sample_id
16.1344,621
9.9468,919
17.7266,1207
12.651,1414
14.3167,2706
11.3576,1130
9.69242,1839
7.24768,1022
23.8318,1251
5.29015,519
7.34077,1797
17.4712,1525
11.1909,2805
33.8116,2836
14.3439,913
7.23677,467
16.6068,967
8.02803,1293
13.1045,413
4.82074,1565
12.8332,2819
10.4313,1166
57.9547,845
11.9113,2822
6.55276,2396
11.8475,2851
5.71594,2487
16.9662,22
4.42368,1555
9.25053,2248
11.917,895
10.1486,636
31.0975,2243
24.0851,2803
4.14623,140
4.06324,2320
5.28559,1755
11.5032,1997
20.6994,2310
7.56721,2564
14.9972,1988
2.97313,634
61.051,670
5.87752,1112
28.5332,1145
19.8362,652
9.55694,2613
9.57787,1354
24.2432,107
10.3452,2165
10.3254,1152
37.1278,1749
7.15061,1938
5.76571,2197
6.49116,129
5.00671,1196
13.6402,262
13.9233,1402
10.9467,2839
7.64744,746
25.8867,1439
8.25204,896
8.41312,507
4.80864,2599
13.6981,645
5.40924,344
32.969,1923
38.3544,2033
12.4358,1457
17.7585,1810
5.02774,2361
4.62548,871
4.69968,303
7.02216,794
11.8279,99
13.9591,282
3.59726,710
10.3246,1729
12.5082,1704
3.45878,1917
10.0175,1857
27.8186,268
33.3913,2816
26.1854,443
6.76298,1337
9.88508,1301
17.6302,1934
9.37058,2387
24.3641,2919
9.55056,2514
9.05115,2301
4.38122,2837
8.89629,2899
7.59493,1984
7.4917,891
12.2496,2074
21.2462,576
5.95361,2495
9.92766,894
8.77263,117
2.80729,1383
4.46457,46
21.9977,2009
4.38175,9
11.2984,2163
9.93948,924
8.60347,1695
4.47273,2408
18.5749,2617
34.4922,240
16.0165,1312
11.2536,1266
7.40953,2424
4.52496,1506
5.82009,39
22.0885,1680
15.8996,2926
3.98387,476
10.9371,373
6.21139,963
7.9076,301
9.29422,1542
16.0609,499
12.4851,2657
16.7902,1963
6.49545,823
8.69308,1791
6.72617,1897
9.83693,1025
25.3392,2890
16.7693,394
15.1323,2021
17.4235,1560
11.3017,1798
10.1333,2140
3.84386,2218
5.7844,2533
18.0412,355
35.8834,638
4.81226,1930
5.04801,1091
34.2537,1162
3.43342,133
26.4928,397
25.6127,1183
9.80854,980
15.0002,2525
4.35527,1957
10.4157,515
11.1517,2432
22.3854,1102
26.1701,658
2.88566,2080
6.99833,65
7.8938,1052
2.96334,1985
18.3424,1860
4.31792,535
30.8297,1795
8.92997,161
8.03646,2544
8.96133,167
4.61847,2136
11.1841,2841
17.8815,2854
18.7285,2519
8.48257,1883
9.60566,829
17.8864,1040
4.98659,2360
7.3759,5
8.74391,2438
22.4234,1513
5.50486,1849
15.025,416
14.1201,296
7.47538,218
4.64976,2071
6.31652,1093
13.2633,2118
5.50157,2676
28.132,1876
29.9523,1905
6.87541,308
13.7396,870
6.82723,2583
13.9158,590
19.4859,398
8.73737,2784
5.56633,2083
4.67944,523
12.6071,2196
3.95562,2905
16.4664,1425
12.2598,1583
7.0662,1329
21.8575,705
3.38511,2849
10.8693,1230
4.61304,2261
13.8662,2847
20.231,2130
4.78421,1966
12.2136,2936
17.773,1904
15.0012,380
5.02354,2744
36.4493,359
3.61353,1702
4.62035,703
6.16915,2535
9.19726,1306
8.13847,2189
9.44645,901
13.8882,934
4.69628,2321
10.0272,1819
21.7607,1505
5.35554,2588
11.3756,1579
19.1037,2538
14.2466,2464
11.6432,2342
11.4783,1537
7.16147,1386
9.61102,2667
39.0058,251
6.10657,2405
13.4867,2020
7.94742,1630
12.5544,213
18.2235,2935
2.9113,1601
8.01127,1960
5.3693,1184
10.3126,2389
16.7501,1164
12.1702,1471
5.79907,1656
6.52748,2610
22.3325,2798
36.2199,492
12.8108,1307
7.80431,2185
12.297,1165
5.45113,25
6.18158,1969
4.0337,1572
11.2792,1714
3.89732,758
5.75807,1469
6.88257,164
5.22813,2183
13.6254,325
4.80995,690
4.83566,781
7.21059,2562
10.7635,1031
4.85804,2694
12.1073,1581
2.16481,729
33.6181,40
5.7214,456
25.923,1259
24.6618,1971
8.01727,995
9.98202,2011
8.91769,410
13.1894,840
12.5729,2765
10.4623,2757
9.05431,1201
6.70919,631
5.55984,2370
6.34718,806
12.9094,64
17.6367,785
5.0525,755
15.4762,2912
13.0641,181
7.88281,1304
26.2079,1121
13.8729,333
5.82011,719
4.17167,1591
10.7079,2783
18.5232,2038
3.58036,174
7.73457,322
13.923,2766
7.05876,1787
6.36382,2638
5.59988,2247
19.773,843
13.4943,2540
4.90323,2738
7.15661,2168
8.02102,1380
3.44221,1392
26.2934,1621
3.50738,733
7.21105,1827
10.9504,898
30.6833,639
11.7103,2779
10.8453,2499
10.303,430
5.5362,2138
6.53944,1074
14.1952,620
14.9716,627
4.40252,138
15.0288,685
9.68114,1389
5.79822,131
14.0048,1300
15.2315,440
7.94081,2481
11.7751,2619
14.8683,1878
15.6228,434
7.87701,1092
31.1971,1940
11.4878,1831
31.7564,1811
16.6568,1948
4.1952,736
27.9059,501
6.9532,937
17.5799,546
7.04729,1134
21.7225,454
3.50264,1220
13.2066,595
4.72368,1678
5.38558,2444
14.4394,1908
3.39431,1493
18.3515,2057
4.86136,2094
4.7386,1061
14.1815,2830
7.70632,985
12.2107,1903
24.5434,343
11.0757,1742
5.84328,2299
4.78698,920
4.50155,1264
22.1098,2100
23.0897,1270
4.21401,700
21.2368,367
9.5251,1515
13.8779,94
14.6561,1497
8.25591,1874
6.99811,2148
8.00764,2238
12.7236,2060
6.10441,2728
6.56246,1107
5.16127,272
7.59478,2501
6.71946,861
22.844,2815
8.3566,1319
20.0324,836
27.3427,1688
9.4837,2390
16.2414,833
5.94865,1330
8.17218,2162
9.35059,696
16.6536,426
11.5381,587
12.2755,828
37.8413,1097
9.35925,2671
13.6555,2729
12.0773,2336
8.02133,1886
5.48609,1148
8.93009,911
7.09829,1618
22.7156,436
11.368,575
7.25571,239
14.3305,2479
11.8946,668
18.4036,93
8.10955,2442
42.1818,1715
6.87642,882
4.29344,1973
20.1304,2795
20.262,2210
4.22148,1192
14.747,2494
11.4348,2077
6.48167,1123
6.48307,1517
20.6853,1419
11.2633,1629
5.95069,1309
5.47175,2146
3.9963,766
7.45537,2585
8.79983,853
4.87721,2633
8.85539,1913
13.103,862
6.51826,1868
29.2755,2219
