elapsed_dec,sample_id
5.46462,621
3.06536,919
5.91031,1207
3.82871,1414
4.62589,2706
3.51436,1130
3.08836,1839
2.35622,1022
7.86034,1251
1.6852,519
2.40585,1797
5.46287,1525
3.65552,2805
11.1665,2836
4.89447,913
2.43323,467
5.31561,967
2.48634,1293
4.43442,413
1.40837,1565
4.19931,2819
3.38306,1166
19.354,845
3.78577,2822
2.11972,2396
3.58834,2851
1.83783,2487
4.75108,22
1.46633,1555
3.10048,2248
3.49129,895
3.51363,636
10.2413,2243
7.97622,2803
1.33263,140
1.27385,2320
1.46742,1755
3.71511,1997
6.95246,2310
2.12536,2564
5.01359,1988
0.828246,634
20.445,670
1.95133,1112
8.54131,1145
5.15534,652
2.2577,2613
2.39264,1354
6.12308,107
2.70241,2165
2.64465,1152
9.44234,1749
1.81783,1938
1.36699,2197
1.82838,129
1.65342,1196
4.66646,262
4.44585,1402
3.64419,2839
2.42447,746
7.94368,1439
2.60833,896
2.6734,507
1.57222,2599
4.71976,645
1.83654,344
10.7748,1923
12.9552,2033
4.11647,1457
6.09425,1810
1.59395,2361
1.50042,871
1.5705,303
2.31735,794
3.69822,99
4.79552,282
1.12275,710
3.52794,1729
3.82281,1704
1.11389,1917
3.3196,1857
8.37767,268
8.72504,2816
7.25152,443
1.62223,1337
2.65479,1301
4.46497,1934
2.21206,2387
6.97847,2919
2.90207,2514
2.94537,2301
1.41724,2837
3.04952,2899
2.40717,1984
2.47646,891
4.04789,2074
6.77972,576
1.89297,2495
3.13604,894
2.87355,117
0.749462,1383
1.42902,46
7.29375,2009
1.20597,9
3.78204,2163
3.10441,924
2.89505,1695
1.43643,2408
5.89912,2617
11.1503,240
5.33309,1312
3.45868,1266
2.41241,2424
1.34844,1506
1.64397,39
7.04124,1680
5.27278,2926
1.33883,476
3.69272,373
2.007,963
2.63326,301
3.26054,1542
5.40387,499
3.89767,2657
5.41739,1963
1.99851,823
2.7812,1791
2.0175,1897
3.12935,1025
8.48177,2890
5.58223,394
5.02396,2021
5.85215,1560
3.64172,1798
3.3603,2140
1.05902,2218
1.84876,2533
6.10729,355
11.8651,638
1.55497,1930
1.61705,1091
11.5561,1162
1.17371,133
9.2077,397
8.77655,1183
2.95324,980
4.9231,2525
1.44793,1957
3.2622,515
3.67902,2432
7.19186,1102
8.90512,658
0.859479,2080
2.41949,65
2.69718,1052
0.982578,1985
6.01296,1860
1.41509,535
10.3437,1795
2.91993,161
2.61204,2544
2.98372,167
1.46625,2136
3.82597,2841
5.65933,2854
6.22437,2519
2.79534,1883
3.01084,829
5.82293,1040
1.55146,2360
2.33311,5
2.90235,2438
6.85001,1513
1.85353,1849
5.15516,416
4.73782,296
2.51446,218
1.51092,2071
1.93481,1093
4.1582,2118
1.76261,2676
9.53406,1876
10.0181,1905
2.35192,308
4.5637,870
2.22906,2583
4.54918,590
6.55469,398
2.7899,2784
1.84848,2083
1.48124,523
3.82993,2196
1.21877,2905
5.27766,1425
3.99548,1583
2.36062,1329
7.18878,705
0.987401,2849
3.44236,1230
1.45228,2261
4.43617,2847
6.31802,2130
1.49786,1966
4.00214,2936
5.73295,1904
5.06484,380
1.6285,2744
12.5075,359
1.23632,1702
1.30581,703
1.99424,2535
2.94966,1306
2.64141,2189
3.23135,901
4.65213,934
1.40522,2321
3.37236,1819
6.90822,1505
1.67988,2588
3.72154,1579
6.4386,2538
4.57351,2464
3.91458,2342
3.75758,1537
2.24063,1386
3.13665,2667
12.9114,251
2.01284,2405
4.48856,2020
2.59831,1630
4.17199,213
6.01699,2935
0.768156,1601
2.64591,1960
1.77021,1184
3.33423,2389
5.74455,1164
3.84321,1471
1.92729,1656
2.21432,2610
7.3946,2798
12.4168,492
4.22345,1307
2.50567,2185
4.17669,1165
1.73869,25
2.01695,1969
1.19488,1572
3.59988,1714
1.21726,758
1.90171,1469
2.29162,164
1.71707,2183
4.6092,325
1.5872,690
1.5188,781
2.10013,2562
3.51539,1031
1.47547,2694
4.1791,1581
0.609554,729
11.3029,40
1.89612,456
8.85005,1259
7.97456,1971
2.65534,995
3.15016,2011
2.93654,410
4.41048,840
4.12273,2765
3.44331,2757
3.06293,1201
2.20263,631
1.77315,2370
1.993,806
4.2258,64
5.75281,785
1.57595,755
5.01817,2912
4.37142,181
2.44718,1304
8.43507,1121
4.52587,333
1.93799,719
1.39802,1591
3.60701,2783
6.2265,2038
1.20017,174
2.67949,322
4.72012,2766
2.26848,1787
2.03828,2638
1.87874,2247
6.57414,843
4.4875,2540
1.55021,2738
2.19456,2168
2.56464,1380
0.907585,1392
8.88264,1621
1.04272,733
2.28501,1827
3.70967,898
10.171,639
3.77619,2779
3.63312,2499
3.3773,430
1.9128,2138
2.24557,1074
4.66703,620
5.15335,627
1.45063,138
4.90337,685
3.14531,1389
1.92806,131
4.52828,1300
5.01773,440
2.62926,2481
3.39451,2619
4.81272,1878
5.50145,434
2.45836,1092
10.2786,1940
3.91167,1831
10.2851,1811
5.05018,1948
1.408,736
9.04765,501
2.35367,937
5.93523,546
2.09985,1134
6.94219,454
1.11584,1220
4.32613,595
1.50424,1678
1.75247,2444
4.90916,1908
1.15068,1493
6.04899,2057
1.52935,2094
1.55001,1061
4.46428,2830
2.60123,985
3.79357,1903
8.46359,343
3.59176,1742
1.62308,2299
1.59943,920
1.41747,1264
7.18912,2100
7.47194,1270
1.34219,700
7.07547,367
2.79482,1515
4.52421,94
4.99085,1497
2.63599,1874
2.17139,2148
2.57658,2238
4.28834,2060
2.00047,2728
2.19118,1107
1.7355,272
2.48903,2501
2.21054,861
7.45113,2815
2.77386,1319
6.77577,836
9.19792,1688
3.15736,2390
5.48691,833
1.80889,1330
2.51063,2162
2.85763,696
5.66053,426
3.53847,587
4.2121,828
12.8421,1097
2.81862,2671
4.3802,2729
4.00418,2336
2.65691,1886
1.81924,1148
2.95359,911
2.36856,1618
7.8328,436
3.66816,575
2.37063,239
4.79363,2479
3.87775,668
6.20154,93
2.7824,2442
14.0859,1715
2.16305,882
1.48852,1973
6.79038,2795
7.13654,2210
1.36349,1192
4.96882,2494
3.83052,2077
2.14469,1123
1.92474,1517
6.70309,1419
3.69275,1629
1.77651,1309
1.50126,2146
1.28489,766
2.45252,2585
2.79867,853
1.54168,2633
2.83794,1913
4.21168,862
2.22036,1868
9.0741,2219
2.03572,1900
5.40175,1840
4.02629,150
15.1595,557
6.1123,1321
9.10903,284
7.96221,2457
5.58731,305
3.59125,404
1.77154,143
2.61809,762
2.56424,2864
1.42887,1640
4.40316,2876
7.45629,2194
2.89206,2115
2.00623,1628
7.26316,122
2.88126,329
4.06829,1561
4.49877,1403
9.92014,2817
1.58177,2753
8.58044,2254
1.37532,12
2.0414,797
8.35214,2175
2.55689,2754
1.79438,1885
1.62059,2602
3.68645,386
1.8722,2449
3.55009,2708
1.45698,1711
1.50844,1489
1.85978,76
5.02509,2528
1.3608,78
3.39363,1788
1.70643,92
4.33344,420
3.8346,1664
3.6698,2808
2.20934,1249
1.8909,2548
4.11164,1554
2.86873,1754
0.594892,825
1.61407,489
3.5427,1599
3.29065,1941
6.35502,1286
6.5146,1682
2.81993,428
2.20864,802
4.35272,1964
5.25385,1037
3.89304,418
8.62965,2286
0.883019,1108
6.61594,2933
2.92441,1970
1.46459,310
5.14869,1774
2.83632,45
1.78873,528
2.00069,711
4.76585,105
1.39177,1138
1.54226,1163
1.09773,2715
2.43264,1540
3.82176,2570
5.41316,2174
11.1364,1977
2.47782,1692
4.28438,1834
10.7134,640
3.6893,321
1.4616,1686
4.61607,997
3.82622,2892
6.39431,2228
2.94536,63
1.56929,1732
6.14146,2003
3.83084,2107
5.13729,98
1.76982,2810
2.29577,275
1.32526,2391
4.26912,1494
5.37201,570
1.00212,154
2.74414,928
6.22869,602
2.29396,7
1.22938,2458
4.00433,1137
0.810347,724
7.95431,2172
1.67239,168
1.17198,1639
3.83696,334
2.7773,2394
10.0272,609
5.49547,2076
2.39981,1575
3.20191,2469
0.806155,1404
1.19587,2304
4.80375,1739
12.66,2005
1.85505,1520
8.32352,1994
4.60864,1861
1.488,2117
3.01742,2149
5.57309,1405
2.61343,1825
3.3354,402
5.68218,1379
2.1622,1535
8.5745,667
1.44547,996
3.7286,888
2.14645,183
2.07495,1072
1.82589,1360
3.91956,332
2.98749,1369
3.5794,1796
1.72395,2590
5.41776,446
4.37366,1922
1.66345,2697
1.69859,59
1.73948,44
6.05645,393
1.63237,2644
4.97082,2279
1.64056,2331
8.54845,633
1.71474,2750
1.56509,1316
7.06614,771
4.88996,529
3.67874,57
5.7263,550
7.84043,274
3.23927,1512
3.14304,2537
2.33878,2186
1.52545,1336
10.2835,588
5.10952,115
2.94294,502
4.53528,2300
2.37619,338
4.21342,1169
1.32818,2411
1.64126,314
3.06357,1357
1.40328,465
2.05726,379
1.95019,1122
2.5199,2637
1.80209,1725
6.7744,2886
1.47834,1050
7.81539,916
2.82066,2914
2.53409,348
1.90771,2539
1.14052,1502
6.91393,2660
1.50124,1768
6.87129,2767
5.14837,1198
2.01321,2090
1.44611,2711
0.989247,770
3.37647,2253
5.67604,2064
4.3056,1492
2.88756,2485
1.36974,1446
1.38648,137
2.16383,1844
2.50797,482
3.58909,1382
2.16609,2587
3.71641,1441
1.40082,2867
3.31199,1614
2.05647,1854
5.97212,392
2.27414,520
7.24324,254
3.85044,101
6.59723,2315
3.93898,1743
1.34582,2511
1.62903,2095
3.07243,2838
4.00339,1320
3.35409,2392
2.39512,915
8.2471,2000
3.13343,1610
2.47264,70
4.14822,1356
1.65503,1177
4.68296,1109
2.64068,2592
2.14756,596
3.89954,2058
3.75365,1143
4.80507,84
5.02371,1894
3.16162,2379
3.15506,1144
2.29628,1720
1.15108,1288
3.07205,1139
4.12209,1620
5.4213,1302
2.91512,256
7.75404,2789
2.44866,2601
5.02026,1041
2.42843,204
4.9394,2917
2.02894,2086
1.56372,495
5.97356,965
8.25816,2205
0.899688,205
1.4552,258
1.82745,1432
4.08243,1503
1.14959,2623
3.98374,1059
2.8329,2502
1.33016,2453
4.75712,2922
1.12751,976
2.24913,1279
4.54143,1539
0.914546,1899
10.8592,1824
3.01232,542
2.80062,850
4.35372,2828
3.05612,1547
2.25776,959
4.56722,126
2.3805,1651
2.46507,1178
1.66059,1987
4.65839,1773
4.09799,51
2.41445,1919
4.87437,1677
3.57711,1282
5.81368,2871
2.41014,943
2.14074,793
3.3358,1350
2.90337,993
2.80776,2440
5.45136,1653
4.00205,1256
3.94803,1841
2.63442,2178
1.61807,21
3.66573,2145
13.9386,1096
2.7173,1468
1.65924,124
1.70648,2101
5.32327,11
1.7755,2460
3.27913,1429
2.4707,1514
6.66443,342
1.87445,2135
2.2758,1477
3.78073,1910
3.83396,1671
3.40804,1931
12.0231,656
2.25299,1718
2.25318,1262
2.02206,1650
7.24215,1756
2.13923,1014
2.28605,1056
4.33712,879
3.54244,808
3.15744,2167
4.60929,24
2.32258,1582
3.72563,433
1.87043,104
3.3991,1428
1.68645,427
14.7046,253
3.01884,111
9.21783,2027
4.21912,1035
1.33991,494
0.893265,1570
5.04065,1413
6.86703,419
3.32125,1036
3.12038,873
2.79122,2385
2.68462,1344
2.27945,1060
4.9809,2888
2.81253,1069
7.8499,241
7.73352,1978
2.37086,551
2.77824,984
3.74836,208
9.81076,953
4.29897,942
1.36473,698
1.76685,58
3.31147,1647
0.792776,715
2.60307,1174
2.66158,1482
3.15234,1573
4.71976,211
1.46735,2645
1.97449,1363
2.7375,194
1.53159,2770
3.71907,2860
2.50798,880
2.6966,2848
2.77104,2190
14.0226,964
3.01513,2240
1.19038,2652
1.12321,704
4.34048,1548
6.05537,2800
1.60553,1697
1.72745,2884
7.85945,2516
3.97534,206
3.79345,1566
3.13888,2776
1.36802,1708
3.08782,1604
6.05909,619
4.11863,752
4.37584,2825
2.05991,1942
6.42594,2703
4.75842,135
1.21523,2762
5.89616,1816
2.40981,493
2.19921,335
9.56682,2930
4.40686,2152
5.46916,1098
5.347,867
4.7232,60
3.91258,1158
3.55917,611
6.96323,556
1.40437,1118
1.62926,2368
1.24764,1530
0.779864,2412
2.26758,1213
1.4483,1194
4.91512,1859
4.79745,147
2.8696,2778
5.44703,2928
2.01866,2430
8.31489,2308
1.04371,2104
1.54138,2611
12.0582,265
2.78199,1784
2.53954,2748
3.92027,222
3.94778,734
2.31686,1712
3.26968,2403
2.88371,477
1.24076,170
2.49009,1171
0.874971,748
5.09515,1949
1.76085,1829
3.13125,706
4.77832,1954
5.08996,2764
4.71872,876
4.47284,1029
4.56434,1738
9.46388,1569
1.34731,192
1.91235,1603
13.5984,684
1.19865,2263
1.56903,1933
4.27275,1254
3.97369,252
1.78566,1627
1.79884,702
2.44113,2343
1.81096,2604
2.73548,1039
1.5523,712
2.11035,938
1.69998,1880
4.09429,245
6.80198,2357
3.64261,2891
2.1419,151
2.03891,2589
3.38214,1828
1.51784,210
3.12667,2159
1.58812,814
5.65405,1608
6.03478,2350
1.67083,8
1.40886,364
7.02668,2222
2.1444,1689
4.43178,400
2.16729,2673
3.38497,1961
3.39716,1580
2.19926,2271
1.54232,2414
2.19343,885
5.33542,2517
