elapsed_dec,sample_id
15.7814,621
9.92504,919
24.8207,1207
12.1623,1414
13.4868,2706
10.272,1130
10.2765,1839
6.59197,1022
28.316,1251
6.14343,519
8.00559,1797
17.9144,1525
10.6889,2805
34.9237,2836
21.0387,913
7.86374,467
20.5748,967
9.58836,1293
19.156,413
4.35016,1565
16.4175,2819
9.47796,1166
76.1979,845
13.2506,2822
9.36056,2396
14.1132,2851
7.80776,2487
15.7825,22
4.56225,1555
13.2899,2248
14.7624,895
14.6862,636
41.5979,2243
28.5058,2803
4.71182,140
3.97762,2320
4.97419,1755
12.619,1997
32.4689,2310
7.59626,2564
18.0273,1988
2.13119,634
80.7449,670
5.85495,1112
32.4358,1145
20.1111,652
7.5812,2613
6.40394,1354
22.5514,107
9.87689,2165
8.05075,1152
31.8058,1749
5.36741,1938
3.72768,2197
8.10001,129
8.71537,1196
16.7592,262
19.6727,1402
13.687,2839
8.67924,746
28.8148,1439
10.0709,896
9.74897,507
7.39909,2599
19.6961,645
5.64496,344
33.1295,1923
46.5774,2033
15.1932,1457
20.9773,1810
4.68168,2361
4.58135,871
5.54968,303
7.00923,794
12.0881,99
18.5576,282
3.53049,710
13.0691,1729
12.4917,1704
4.56749,1917
14.2548,1857
31.6508,268
34.4253,2816
25.2321,443
5.41415,1337
11.2402,1301
15.0852,1934
5.93795,2387
21.8876,2919
9.4953,2514
12.1537,2301
5.04831,2837
9.65343,2899
7.52711,1984
7.59264,891
14.7324,2074
23.2114,576
7.96634,2495
14.2025,894
12.8925,117
2.04461,1383
5.01811,46
27.392,2009
3.96186,9
15.6879,2163
12.5876,924
8.40628,1695
4.76048,2408
21.405,2617
41.0374,240
19.988,1312
14.1934,1266
11.7034,2424
4.16372,1506
4.74261,39
26.3087,1680
16.9679,2926
2.86531,476
14.5203,373
5.86506,963
10.3678,301
11.5766,1542
17.9631,499
15.432,2657
17.9727,1963
7.1596,823
8.81981,1791
6.16071,1897
8.62127,1025
28.3159,2890
21.4893,394
17.7004,2021
22.0276,1560
13.1826,1798
14.7658,2140
3.08243,2218
7.79187,2533
23.2641,355
