elapsed_dec,sample_id
3.82086,966
6.70619,361
3.14379,1632
3.10105,722
4.25236,297
6.8349,1233
5.6321,1663
4.78513,1513
3.01991,330
4.07573,242
3.80136,134
7.04249,1775
5.69057,958
2.83807,37
3.85366,1065
4.74245,509
5.79939,1154
5.5636,1524
6.91791,1688
4.7457,1288
3.21545,907
5.62313,1444
4.13795,916
9.73393,1314
3.66107,681
3.67,1196
3.48282,1628
2.54155,686
3.72678,1498
6.16548,1412
15.1014,776
5.74837,1419
4.32677,409
6.37001,283
2.85256,431
2.26534,622
4.54894,1733
6.09521,1869
3.33469,1975
5.07254,1322
5.52246,1964
1.96916,97
3.57308,1420
3.17785,384
3.78228,884
9.9143,1838
6.02662,1035
4.15979,226
4.45321,437
4.33381,1896
3.87029,1679
7.1064,778
3.80168,1564
4.40413,202
4.4212,1715
5.00234,1160
3.00397,1345
3.48963,1707
6.3173,1333
3.58344,4
6.31257,1779
7.71058,1862
4.86564,407
2.89989,957
6.71227,1158
3.73705,1129
5.54539,398
2.18551,534
6.79778,805
2.89212,256
2.78569,546
3.16088,1680
3.54592,1830
3.69264,1939
11.299,326
6.70565,1088
2.00773,1210
5.27737,843
7.14712,938
2.59833,1060
5.52039,130
7.10697,1250
3.21515,1945
4.25502,288
4.20426,1576
4.25122,1748
9.91838,1818
4.56988,1126
4.47809,1039
4.76501,280
5.93347,773
3.06455,577
4.33366,1729
5.36924,1229
3.94381,1440
9.73073,251
4.75835,244
2.70548,1732
6.33022,639
5.17393,441
2.13215,985
3.58375,1348
3.13629,1798
4.451,473
5.7234,1667
5.9097,950
4.93197,342
2.35682,1980
5.63515,292
9.04363,995
1.77794,1885
3.68539,285
3.73677,1349
2.87361,371
5.17567,474
7.19358,505
4.96666,1844
2.67714,1072
6.00788,245
3.90206,1949
4.27894,457
4.48626,490
3.79281,1573
4.28998,515
4.99472,1503
5.01654,827
5.62191,1426
4.01489,422
6.03527,1025
3.78028,1131
3.76138,308
7.3612,413
4.65396,55
8.28666,1248
5.43706,945
4.90176,218
3.68196,902
7.87948,436
5.16392,1523
3.34492,1778
4.34242,259
3.47238,1476
1.81585,922
5.59069,416
4.00386,187
6.98038,822
6.39749,1916
1.96809,748
5.8214,1893
5.15633,1491
6.41232,1568
7.39521,1043
3.33299,282
4.67396,983
5.80349,1416
1.87141,547
5.06363,1562
3.50681,1211
2.92454,1825
5.72659,1891
4.31984,1086
4.55522,2004
3.3882,821
4.86754,1458
3.67727,652
4.84264,1907
5.18393,1566
6.64772,1464
5.51219,177
2.92384,449
6.3116,999
5.00239,888
3.69131,1870
4.86319,185
2.61903,1495
7.763,1819
4.72079,478
3.26084,240
4.14383,719
3.05463,741
3.08802,1750
3.74766,305
6.86999,1399
3.98405,392
7.58808,1013
5.16467,120
5.55942,992
2.16155,582
5.00293,563
3.22129,312
4.13238,69
5.38795,844
3.39109,171
4.33929,1413
3.6429,947
4.80895,302
3.69069,230
3.05811,1381
3.49785,139
3.50103,996
3.37472,1199
3.66448,1270
3.25289,987
7.31132,1913
4.88094,1195
3.44861,1965
3.62564,190
3.91122,698
2.03661,1960
4.28655,1362
3.79662,1407
4.97531,1190
6.39744,266
6.3354,1713
5.93477,1443
3.60643,1530
5.24575,1077
3.50239,664
3.70528,1339
6.72124,1925
4.25524,48
3.54798,447
6.43143,508
5.82868,1194
4.8748,1027
7.21045,1220
5.38964,1385
4.59193,137
7.3748,1539
4.95666,794
3.8798,334
7.19437,1311
2.42171,599
3.56751,5
4.85312,756
4.17807,45
6.05703,1188
6.05174,1392
3.95391,1736
4.46233,227
5.82339,1095
7.65092,1408
6.56938,661
4.30694,365
6.41592,880
5.07999,194
4.14697,1106
3.67417,1886
5.64069,658
3.2986,526
3.465,837
5.32707,954
3.76933,352
8.35102,1824
4.03547,163
3.47706,726
5.53715,1089
4.76047,1100
2.79378,585
6.57971,1548
1.55746,460
3.87347,16
3.35092,1326
4.64523,1797
4.22636,415
5.02188,377
6.57477,1255
4.75755,1329
6.99187,811
7.38245,1933
6.31803,1387
6.63739,136
4.20597,549
4.34321,1061
3.71488,755
4.73859,1057
4.33188,262
4.21242,323
5.83957,1802
4.58421,928
4.65101,1909
5.79866,1335
7.49593,1295
3.73074,712
2.77435,1107
5.68888,1952
3.69584,553
2.6075,971
3.37271,1434
8.29282,1850
4.51629,753
4.92425,253
3.95405,1578
5.49019,199
7.44132,1388
4.04387,109
4.00965,19
4.31328,1059
3.00746,731
6.08312,1669
3.40797,541
3.65572,1987
6.03975,1829
3.41193,523
6.97677,1400
6.95807,618
5.8542,866
3.95996,166
4.50562,141
3.67093,265
8.0273,1708
3.1445,1005
3.18711,625
5.11215,258
3.82359,83
4.93094,1150
3.63653,659
5.64176,839
4.13036,412
4.84674,1709
3.77839,807
5.45056,76
3.98727,878
5.93996,1794
5.78987,174
4.02016,1055
3.02964,1681
6.21424,1323
5.06372,178
6.10304,668
2.62688,459
6.03323,1266
3.63024,588
8.75653,1173
3.64716,484
3.84575,1835
4.39709,824
2.24759,673
4.44399,1697
2.68311,446
3.81347,289
4.97949,1457
5.21683,1589
3.88706,1525
4.56921,1785
6.39754,430
5.05126,693
3.7949,1403
3.79872,1132
5.90088,1859
3.43591,676
4.93162,228
4.70882,1583
5.07077,1911
5.26799,205
10.0222,1820
5.26424,1888
4.44928,897
6.61281,133
6.8762,1988
5.0804,1492
3.87861,1647
3.62573,557
4.98591,1041
5.02005,703
4.69075,601
5.3147,1091
4.5844,434
2.27631,295
4.70303,830
7.19901,1175
3.0832,2007
5.10586,632
6.28085,123
3.02982,357
8.67046,1858
6.06082,252
7.22326,1180
5.8449,975
2.8613,1605
7.65614,1684
5.478,1267
3.9901,1950
5.87408,655
3.20265,1915
7.25823,267
7.88215,1480
6.05803,191
12.796,851
4.92917,994
3.63576,1887
5.3281,1994
4.29176,2002
4.17586,1638
3.29562,427
4.14728,254
3.20781,1656
3.02682,684
5.24015,1682
5.78994,1542
2.85775,309
4.18684,711
6.60586,195
6.30592,425
4.52622,860
4.65564,1441
3.10793,587
4.70717,545
4.25703,2022
4.47178,699
6.18237,1854
3.18693,591
4.56,2010
5.83825,328
3.51798,1109
7.52779,1320
8.67106,495
6.03927,417
5.99108,1302
6.05766,1770
3.42782,1552
2.89269,1672
6.75176,979
3.36393,1701
5.42742,1685
4.8647,1053
3.11098,53
9.49202,926
3.81077,1582
5.81743,1954
3.61444,1115
3.73433,937
4.72119,841
4.67785,1034
5.61804,1877
4.48576,138
2.93453,1946
5.37732,1694
3.98574,0
3.75429,1551
4.15967,729
5.47907,831
3.99211,212
4.49694,1312
5.84856,275
3.17893,688
7.3481,1745
3.06004,1371
3.94273,364
4.44956,767
4.20391,840
3.34491,1796
6.22973,1943
4.13385,1730
8.80353,1923
6.66438,1493
5.11708,1620
5.26989,408
3.716,1489
6.69588,1023
4.32912,724
3.53486,727
2.47951,565
5.64079,1099
6.1007,170
3.08508,2021
8.17719,1227
4.67726,1547
4.13619,360
4.66592,838
8.299,852
6.03144,1178
4.86027,1801
3.24776,540
4.39837,229
5.05441,1937
2.72005,1648
3.54675,390
6.18468,1956
4.46195,1650
3.90432,531
6.1079,1038
3.84634,667
3.75471,615
2.64119,235
5.73069,1279
4.70031,1788
4.74637,1298
4.28341,1687
4.33655,522
6.62261,1452
8.861,777
6.01136,1218
3.27362,461
8.22404,1093
8.82033,1845
4.82564,967
5.50292,1237
4.55691,496
3.24064,538
4.11054,317
5.78394,332
3.32422,340
4.62382,1738
2.269,1372
7.73324,414
5.23568,787
1.7099,30
4.73208,919
7.64688,211
9.8999,1550
2.9986,909
6.4792,188
2.22731,1435
3.98344,1274
4.20993,1961
3.68142,903
5.91136,991
4.03141,1067
3.62807,904
5.49749,318
4.42178,1066
5.98254,339
2.09719,247
2.77593,630
6.51549,1166
1.90857,1810
3.04222,1300
4.63599,20
3.90709,1571
1.68629,554
7.77754,551
6.13294,1860
5.17526,1459
6.24653,1145
4.05456,154
3.25062,1084
5.21289,923
