elapsed_dec,sample_id
1.19406,966
2.17465,361
0.997469,1632
0.976049,722
1.28035,297
2.41226,1233
1.81692,1663
1.54724,1513
1.01475,330
1.37472,242
1.28466,134
2.3471,1775
1.95405,958
0.845329,37
1.19208,1065
1.67846,509
1.95427,1154
1.91882,1524
2.16727,1688
1.54601,1288
1.07786,907
1.74836,1444
1.41666,916
3.32695,1314
1.23366,681
1.23408,1196
1.02557,1628
0.884074,686
1.17665,1498
2.20886,1412
5.47741,776
2.04476,1419
1.49652,409
2.1401,283
0.95668,431
0.707552,622
1.60658,1733
2.02737,1869
0.949347,1975
1.47175,1322
1.96429,1964
0.659171,97
1.02577,1420
0.885212,384
1.14731,884
3.19458,1838
2.06268,1035
1.42002,226
1.53204,437
1.43571,1896
1.1472,1679
2.55101,778
1.27831,1564
1.51275,202
1.28338,1715
1.72642,1160
0.782337,1345
1.08253,1707
2.23236,1333
1.00175,4
2.20712,1779
2.71484,1862
1.54406,407
0.951088,957
2.36853,1158
1.26205,1129
1.86923,398
0.552018,534
2.14746,805
0.883313,256
0.963903,546
1.06043,1680
1.18862,1830
1.19064,1939
4.12103,326
2.10212,1088
0.614756,1210
1.79169,843
2.3046,938
0.84109,1060
1.9298,130
2.48622,1250
1.03307,1945
1.45744,288
1.43721,1576
1.45226,1748
3.63722,1818
1.55478,1126
1.44262,1039
1.7313,280
2.17151,773
0.998671,577
1.3619,1729
1.81059,1229
1.31713,1440
3.51613,251
1.53165,244
0.834627,1732
2.21737,639
1.78293,441
0.689951,985
1.16259,1348
0.985647,1798
1.58797,473
1.74844,1667
2.03933,950
1.59904,342
0.764853,1980
2.03178,292
3.26604,995
0.511144,1885
1.17615,285
1.02001,1349
0.895034,371
1.77644,474
2.55855,505
1.72255,1844
0.858448,1072
2.13012,245
1.06886,1949
1.40745,457
1.30869,490
1.2849,1573
1.33649,515
1.62586,1503
1.66133,827
1.91032,1426
1.31948,422
2.15933,1025
1.27446,1131
1.31763,308
2.44113,413
1.41517,55
2.61107,1248
1.84245,945
1.70867,218
1.27879,902
2.70131,436
1.84743,1523
1.03722,1778
1.49952,259
1.10832,1476
0.570654,922
1.88909,416
1.40965,187
2.40966,822
2.12529,1916
0.619065,748
1.98833,1893
1.76876,1491
2.22452,1568
2.62605,1043
1.18176,282
1.54527,983
2.06438,1416
0.664909,547
1.72841,1562
1.24505,1211
0.945638,1825
1.8857,1891
1.41028,1086
1.58117,2004
1.10711,821
1.75247,1458
1.28168,652
1.61797,1907
1.75308,1566
2.29576,1464
1.96601,177
0.787155,449
2.18929,999
1.63257,888
1.16443,1870
1.73256,185
0.665807,1495
2.52402,1819
1.74355,478
1.09568,240
1.4768,719
1.01604,741
0.951768,1750
1.05641,305
2.1207,1399
1.30414,392
2.64219,1013
1.72613,120
1.83411,992
0.754395,582
1.5293,563
1.01967,312
1.29323,69
1.73412,844
1.15807,171
1.44077,1413
1.18815,947
1.64382,302
1.13536,230
0.925134,1381
1.12011,139
1.20109,996
0.871802,1199
1.23855,1270
1.06399,987
2.2869,1913
1.48572,1195
0.99534,1965
1.2597,190
1.36648,698
0.612562,1960
1.53263,1362
1.26232,1407
1.54664,1190
2.17442,266
2.2281,1713
2.13723,1443
1.22733,1530
1.67056,1077
1.19837,664
1.07083,1339
2.39725,1925
1.27712,48
1.15584,447
2.21512,508
1.84725,1194
1.67349,1027
2.4907,1220
1.92963,1385
1.64862,137
2.47033,1539
1.81726,794
1.35436,334
2.54628,1311
0.825924,599
1.0645,5
1.7048,756
1.33287,45
2.17511,1188
1.90778,1392
1.48698,1736
1.49523,227
1.99213,1095
2.66739,1408
2.16672,661
1.25217,365
2.16414,880
1.80947,194
1.33572,1106
1.3331,1886
1.88642,658
1.07993,526
1.15334,837
1.88294,954
1.34835,352
2.99696,1824
1.3282,163
1.13177,726
1.90926,1089
1.44734,1100
0.907746,585
2.17806,1548
0.469579,460
1.18998,16
1.01797,1326
1.44795,1797
1.31755,415
1.77721,377
2.36962,1255
1.53717,1329
2.32966,811
2.61091,1933
2.13498,1387
2.26577,136
1.40363,549
1.36801,1061
1.24391,755
1.48432,1057
1.50097,262
1.53386,323
2.01897,1802
1.64059,928
1.58022,1909
1.95731,1335
2.47141,1295
1.35774,712
0.923728,1107
1.97887,1952
1.19865,553
0.814122,971
0.895343,1434
2.96057,1850
1.57065,753
1.77645,253
1.34412,1578
1.85358,199
2.37042,1388
1.47186,109
1.25374,19
1.18852,1059
1.03968,731
1.89502,1669
1.17304,541
1.12892,1987
1.97741,1829
1.22517,523
2.25937,1400
2.48949,618
1.88866,866
1.36766,166
1.5764,141
1.24957,265
2.76546,1708
1.07956,1005
1.01861,625
1.8631,258
1.33155,83
1.55476,1150
1.23902,659
1.9833,839
1.36159,412
1.53868,1709
1.20336,807
1.89183,76
1.29525,878
1.93469,1794
1.99365,174
1.19131,1055
0.896927,1681
1.89727,1323
1.73512,178
2.2012,668
0.753894,459
2.08425,1266
1.252,588
2.91163,1173
1.24734,484
1.38408,1835
1.24857,824
0.761608,673
1.35911,1697
0.795582,446
1.35503,289
1.68335,1457
1.82918,1589
1.26126,1525
1.50747,1785
2.13659,430
1.83706,693
1.33898,1403
1.28085,1132
2.16187,1859
1.19734,676
1.78708,228
1.64407,1583
1.61376,1911
1.81624,205
3.70556,1820
1.68461,1888
1.39152,897
2.44398,133
2.14646,1988
1.79543,1492
1.19499,1647
1.21048,557
1.80495,1041
1.78451,703
1.67241,601
1.87853,1091
1.53254,434
0.630712,295
1.44565,830
2.52105,1175
0.972729,2007
1.75106,632
2.18864,123
0.997279,357
2.8678,1858
2.15718,252
2.51522,1180
2.11782,975
1.0447,1605
2.80939,1684
1.91541,1267
1.37587,1950
1.99434,655
0.875772,1915
2.33024,267
2.69476,1480
2.25584,191
4.72264,851
1.53964,994
1.27239,1887
1.90016,1994
1.46081,2002
1.35687,1638
1.13983,427
1.43511,254
1.01345,1656
0.902594,684
1.79441,1682
1.83253,1542
0.780665,309
1.4372,711
2.39751,195
2.20611,425
1.68331,860
1.64919,1441
1.04777,587
1.6064,545
1.23587,2022
1.56879,699
2.30424,1854
1.15852,591
1.55471,2010
2.17941,328
1.10262,1109
2.48674,1320
3.32026,495
1.92465,417
2.03923,1302
1.8893,1770
1.06643,1552
0.908525,1672
2.39348,979
1.14875,1701
1.95013,1685
1.61563,1053
0.927805,53
3.38644,926
1.22097,1582
1.94151,1954
0.965675,1115
1.29513,937
1.54886,841
1.58243,1034
1.95457,1877
1.58388,138
0.857139,1946
1.93886,1694
1.37562,0
1.27938,1551
1.48566,729
1.85402,831
1.38254,212
1.42778,1312
2.00965,275
1.07569,688
2.60201,1745
1.01679,1371
1.21088,364
1.42727,767
1.3442,840
0.98402,1796
2.25754,1943
